company,title,jd_text,location,link,match_score
Durapid Technologies Pvt Ltd,Python AI/ML Intern,"Key Responsibilities:- • Assist in designing and developing AI/ML-based solutions using Python. • Support the team in data cleaning, preprocessing, and preparation for model building. • Work with mentors to implement, test, and validate ML models. • Participate in integrating AI/ML solutions into applications. • Conduct research and stay updated with the latest trends in AI/ML. • Collaborate with software engineers and data scientists on project tasks. Required Skills & Qualifications:- • Stron…","Jaipur, Rajasthan",https://www.adzuna.in/details/5752589553?utm_medium=api&utm_source=bfc56371,0.698649759815272
Topcoder,AI Model Quality & Evaluation Specialist (STEM Domains),"Eligible Candidates: Final-year B.Tech (Computer Science) students from IIT Bombay, Madras, Kanpur, Kharagpur, Roorkee and Guwahati. Preferred Rank: Sub-1000 AIR (JEE Advanced) Commitment: >20 hours/week | Location: Remote Timing: Weekdays, IST hours Role Overview Join our AI Quality & Evaluation team to enhance the accuracy, clarity, and depth of AI responses across Mathematics, Physics, Chemistry, Biology, Coding, and Finance . You’ll work at the intersection of AI model evaluation, content q…",India,https://www.adzuna.in/details/5578270540?utm_medium=api&utm_source=bfc56371,0.6935320061936203
SciTech Patent Art Services Pvt Ltd,AI/ML & Agentic AI Intern,"AI/ML & Agentic AI Intern About the Role We are seeking a motivated and enthusiastic AI/ML & Agentic AI Intern to join our team. You will work on real-world Artificial Intelligence, Machine Learning, and Agentic AI projects, assisting with data analysis, model development, AI agent creation, testing, and deployment. This role offers an excellent opportunity to gain hands-on experience with cutting-edge AI technologies, Large Language Models (LLMs), Coding Agents, and industry best practices. Ke…","Telangana, India",https://www.adzuna.in/details/5783358322?utm_medium=api&utm_source=bfc56371,0.6878057314408087
IAI solution,AI/ML Intern,"Job Role: AI/ML Intern (LLMs & Agent Systems) Location: Bangalore, India (On-site) Duration : 6 Months Company Overview: IAI Solution Pvt Ltd operates at the edge of applied AI where foundational research meets real-world deployment. We craft intelligent systems that think in teams, adapt with context, and deliver actionable insight across domains. We’re currently seeking passionate and skilled AI/ML Interns who are eager to contribute to real-world AI development, have hands-on experience with…","Bangalore, Karnataka",https://www.adzuna.in/details/5557106602?utm_medium=api&utm_source=bfc56371,0.6793860715567845
Newton School,Data Scientist  Associate Instructor,"Key Responsibilities: Teach Applied AI/ML: Design and deliver practical, project-based courses in AI/ML, including Python for ML, Statistics, ML Algorithms, Deep Learning, NLP, Computer Vision, ML Ops, and Generative AI. Develop Industry-Relevant Curriculum: Design and update the AI/ML curriculum to reflect current industry tools, techniques, and best practices, incorporating professional experience and case studies. Mentor Student Projects: Guide students through hands-on AI/ML projects, provi…","Pune, Maharashtra",https://www.adzuna.in/details/5759291670?utm_medium=api&utm_source=bfc56371,0.6714883663820255
Wise Source,Internship- JAVA / Python / AI / ML,Looking out for Internship Candidates . Designation:- Intern/ Trainee Technology : .NET/JAVA/ Python/ AI/ ML Duration : 2-3 Months Job Location :Online Internship Joining :Immediately Job Type :Internship Job Description - MCA/M.Tech/ B.Tech/ BE who need 2-6 months internship project to be done. - Should be available to join us immediately. - Should be flexible to work on any Skills/ Technologies. - Ready to work in long working hours. - Must possess excellent analytical and logical skills. - I…,India,https://www.adzuna.in/details/1555945150?utm_medium=api&utm_source=bfc56371,0.6702357959992129
Springer Capital,Tech Intern â Frontend / Backend / DevOps / AI / Data Engineering,"Role Overview We are looking for passionate and driven interns across multiple technology domains including Frontend Development, Backend Development, DevOps, AI/ML, and Data Engineering. This internship offers hands-on experience in real-world projects, collaboration with cross-functional teams, and exposure to modern tools and technologies. Domains & Responsibilities Frontend Development Build responsive and user-friendly web interfaces Translate UI/UX designs into functional applications Opt…",India,https://www.adzuna.in/details/5721341414?utm_medium=api&utm_source=bfc56371,0.6653408026862071
Sparks To Ideas,Data Science - Ml Internship Ahmedabad,"Job Description Sparks to Ideas IT Company is an innovation-driven IT organization delivering intelligent software solutions using Data Science, Artificial Intelligence, and Machine Learning (link removed) We focus on mentoring young talent and providing real-world project exposure with long-term career opportunities. We are looking for motivated Data Science / AI-ML Interns who are eager to build a career in intelligent systems and data-driven technologies. Interns will work on live industry p…","Ahmedabad, Gujarat",https://www.adzuna.in/details/5690242304?utm_medium=api&utm_source=bfc56371,0.660689176114634
Nextgen Digital Solutions,AI Intern,"Job Title: AI Intern Location: Mumbai Company: NextGen Digital Solutions Mumbai Candidates Preferred Company Description NextGen Digital Solutions (NDS) is a Microsoft Solution Partner specializing in consulting, implementation, and support services for digital transformation with Automation, Low Code, Analytics & AI. NDS offers solutions in Intelligent Applications, Custom AI Assistance, Data & Analytics, Robotic/Business Process Automation, Low Code Solutions, and Demand, Project & Portfolio …",India,https://www.adzuna.in/details/5713103866?utm_medium=api&utm_source=bfc56371,0.6601292896827532
MagikKraft,AI/ML Intern,"Company Overview At MagikKraft (An IIMA Ventures Backed Company), we are redefining how construction projects are monitored, managed, and delivered faster, smarter, and safer. Our platform enables real-time remote visibility, early defect detection, and AI-driven analytics, empowering developers, contractors, and project owners to make impactful decisions and maximize project value. Job Overview Join MagikKraft as an AI ML Intern at our headquarters in IIMA Ventures, Ahmedabad, Gujarat. This is…","Ahmedabad, Gujarat",https://www.adzuna.in/details/5718271466?utm_medium=api&utm_source=bfc56371,0.6485473415099899
Takshashila University,Expert AI Lead Engineer,"Mentor Interns Own Production AI/ML based development Full stack developer with react.js node.js Python with flex or Django RESTful service Database Docker CI/CD AWS Skills:- AI/ML based development Full stack developer wit, Fullstack Developer, Python with flex or Django, RESTful APIs, Databases, Docker, CI/CD and Amazon Web Services (AWS)",India,https://www.adzuna.in/details/5616947443?utm_medium=api&utm_source=bfc56371,0.6484078178802413
NirwanaAI,AI/ML Engineer,"Job Overview: We are seeking a motivated and enthusiastic Junior AI/ML Engineer to join our dynamic team. The ideal candidate will have a foundational knowledge in machine learning, deep learning, and related technologies, with hands-on experience in developing ML models from scratch. You will work closely with senior engineers and data scientists to design, implement, and optimize AI solutions that drive innovation and improve our products and services. Key Responsibilities: Develop and implem…","Delhi, India",https://www.adzuna.in/details/4837815406?utm_medium=api&utm_source=bfc56371,0.6471768491102893
Beyondcc,AI/ML - Internship,"Position Type: Internship with potential for future collaboration Role Overview: Beyondcc invites applications from budding AI/ML enthusiasts eager to shape the future of job applications and resume optimization. Under the mentorship of our experienced AI/ML advisor, you will contribute to building and refining models aimed at optimizing our predictive and matchmaking scores. If you're ambitious, innovative, and keen on hands-on AI/ML project experience, we want to meet you! Key Responsibilitie…","Bangalore, Karnataka",https://www.adzuna.in/details/5120359071?utm_medium=api&utm_source=bfc56371,0.6470584185499685
Fox,Intern - Engineering,"OVERVIEW OF THE COMPANY JOB DESCRIPTION Fox Tech is looking for a talented and driven Intern with a focus on AI/ML to join our team. This internship provides a unique opportunity to work on real-world AI/ML projects, giving you hands-on experience in applying machine learning techniques within software development and engineering practices. About the Role: As an AI/ML Engineering Intern, you will assist in the design, development, and testing of machine learning powered software solutions. Work…",India,https://www.adzuna.in/details/5757648881?utm_medium=api&utm_source=bfc56371,0.645989037721521
Peak Hire Solutions,"Forward Deployed Software Engineer (Client-Facing, Fullstack)","REVIEW CRITERIA: MANDATORY: Strong Forward Deployed / Client-Facing Software Engineer / Integration / Product Support Engineer profiles 1–6 years of professional experience or strong internship/project work in software engineering. Strong proficiency in at least one programming language (Python / Java / JavaScript / TypeScript) Solid foundation in Data Structures, Algorithms, System Design, and ability to build production-grade solutions quickly Experience working on API integrations, backend s…",India,https://www.adzuna.in/details/5528617085?utm_medium=api&utm_source=bfc56371,0.6410338588518265
Smart Data Solutions Llc,"AI/ML Intern, Document Intelligence","AI/ML Intern, Document Intelligence Smart Data Solutions, a leading provider of data management, claim routing and workflow solutions to health plans and TPAs, is looking for a AI/ML Intern, Document Intelligence to join our team! What you’ll be doing? Build and evaluate ML models for extracting structured data from pharma documents (clinical forms, prescriptions, regulatory filings) Develop OCR/OMR pipelines and experiment with text extraction techniques Explore LLM integration using LangChain…",India,https://www.adzuna.in/details/5709648249?utm_medium=api&utm_source=bfc56371,0.6383477929653334
Peak Hire Solutions,"Forward Deployed Software Engineer (Client-Facing, Fullstack)","Review Criteria Strong Forward Deployed / Client-Facing Software Engineer / Integration / Product Support Engineer profiles 3 years of hands-on software engineering experience, ideally in SaaS, enterprise tech, consulting, or platform-based engineering Strong proficiency in at least one programming language (Python / Java / JavaScript / TypeScript) Solid foundation in Data Structures, Algorithms, System Design, and ability to build production-grade solutions quickly Experience working on API in…",India,https://www.adzuna.in/details/5528617083?utm_medium=api&utm_source=bfc56371,0.6287148136515921
Kotak Mahindra Bank,Data Science I-HO & SUPPORT-CVM CoE - Corporate Centre of Excellence,"Description Job Description – Data Scientist I Role Overview We are seeking a highly motivated Data Scientist I with strong foundational knowledge in machine learning, modern AI techniques, and emerging Large Language Model (LLM) capabilities. The role requires hands‑on experience with model development, fine‑tuning, evaluation, and adherence to Responsible AI and regulatory guidelines (RBI/MeitY). You will collaborate with cross‑functional teams to build scalable, secure, and explainable AI sy…","Bangalore, Karnataka",https://www.adzuna.in/details/5743762216?utm_medium=api&utm_source=bfc56371,0.6215692194646607
Gururo,AI/ML Engineer – Intern/Fresher/Experienced,"Location: Vadodara Type: Full-time / Internship Duration (for interns): Minimum 3 months Stipend/CTC: Based on experience and role About Gururo Gururo is an industry leader in practical, career-transforming education. With a mission to empower professionals and students through real-world skills, we specialize in project management, leadership development, and emerging technologies. Join our fast-paced, mission-driven team and work on AI/ML-powered platforms that impact thousands globally. Who …","Vadodara, Gujarat",https://www.adzuna.in/details/5527658896?utm_medium=api&utm_source=bfc56371,0.6192657674289547
GM,AI/ML Student Intern- Body Digitization & AI,"Job Description Sponsorship: GM DOES NOT PROVIDE IMMIGRATION-RELATED SPONSORSHIP FOR THIS ROLE. DO NOT APPLY FOR THIS ROLE IF YOU WILL NEED GM IMMIGRATION SPONSORSHIP (e.g., H-1B, TN, STEM OPT, etc.) NOW OR IN THE FUTURE. Work Arrangement: This role is categorized as ONSITE , General Shift, 45 hours per week, 6-month duration. This means the successful candidate is expected to report to GM TCI office five times per week or other frequency dictated by the business. The Role We are seeking a high…",India,https://www.adzuna.in/details/5784391137?utm_medium=api&utm_source=bfc56371,0.5756039855756271
TraceLink,Agentic AI Engineer,"Company overview: TraceLink is the world’s largest Agentic Business Network, enabling life sciences and healthcare companies to build and manage a scalable digital workforce of governed, no-code AI agents that execute and coordinate mission-critical supply chain operations alongside human teams. Powered by the Integrate-Once™ OPUS platform, TraceLink links more than 300,000 network participants, enabling multi-enterprise processes at global scale. Founded in 2009 with the simple mission of prot…",India,https://www.adzuna.in/details/5678401260?utm_medium=api&utm_source=bfc56371,0.5720780323530217
Payoneer,Lead Engineer AI,"About Payoneer Founded in 2005, Payoneer is the global financial platform that removes friction from doing business across borders, with a mission to connect the world’s underserved businesses to a rising global economy. We’re a community with over 2,500 colleagues all over the world, working to serve customers, and partners in over 190 countries and territories. By taking the complexity out of the financial workflows–including everything from global payments and compliance to multi-currency an…",India,https://www.adzuna.in/details/5714815218?utm_medium=api&utm_source=bfc56371,0.4891004670500391
